Entity,Code,Year,CO₂ emissions per capita
Congo,COG,2014,1.09952
Congo,COG,2024,1.3958335
Cook Islands,COK,2014,4.591479
Cook Islands,COK,2024,5.8242183
Costa Rica,CRI,2014,1.6156219
Costa Rica,CRI,2024,1.7077205
Cote d'Ivoire,CIV,2014,0.40376183
Cote d'Ivoire,CIV,2024,0.46434766
Croatia,HRV,2014,4.18296
Croatia,HRV,2024,4.764723
Cuba,CUB,2014,2.4248602
Cuba,CUB,2024,2.225931
Curacao,CUW,2014,41.18201
Curacao,CUW,2024,12.344206
Cyprus,CYP,2014,5.766146
Cyprus,CYP,2024,5.373922
Czechia,CZE,2014,9.910655
Czechia,CZE,2024,7.043965
Democratic Republic of Congo,COD,2014,0.064614125
Democratic Republic of Congo,COD,2024,0.05403233
Denmark,DNK,2014,6.6571136
Denmark,DNK,2024,4.746057
Djibouti,DJI,2014,0.41648516
Djibouti,DJI,2024,0.48264864
Dominica,DMA,2014,2.3945332
Dominica,DMA,2024,2.5799234
Dominican Republic,DOM,2014,2.0613797
Dominican Republic,DOM,2024,2.8992038
East Timor,TLS,2014,0.5305636
East Timor,TLS,2024,0.47700548
Ecuador,ECU,2014,2.7289972
Ecuador,ECU,2024,2.535337
Egypt,EGY,2014,2.3301265
Egypt,EGY,2024,2.2170217
El Salvador,SLV,2014,0.99306273
El Salvador,SLV,2024,1.4155904
Equatorial Guinea,GNQ,2014,5.4587445
Equatorial Guinea,GNQ,2024,3.704236
Eritrea,ERI,2014,0.1838695
Eritrea,ERI,2024,0.21004777
Estonia,EST,2014,14.290275
Estonia,EST,2024,6.105464
Eswatini,SWZ,2014,0.67069316
Eswatini,SWZ,2024,0.8405372
Ethiopia,ETH,2014,0.11415848
Ethiopia,ETH,2024,0.13506985
Europe,OWID_EUR,2014,7.5443096
Europe,OWID_EUR,2024,6.541561
Europe (excl. EU-27),,2014,8.552544
Europe (excl. EU-27),,2024,8.29681
Europe (excl. EU-28),,2014,9.04461
Europe (excl. EU-28),,2024,9.44698
European Union (27),OWID_EU27,2014,6.8602777
European Union (27),OWID_EU27,2024,5.388372
European Union (28),,2014,6.8480864
European Union (28),,2024,5.273553
Faroe Islands,FRO,2014,12.310254
Faroe Islands,FRO,2024,13.089157
Fiji,FJI,2014,1.2857696
Fiji,FJI,2024,1.5561111
Finland,FIN,2014,8.719286
Finland,FIN,2024,5.300579
France,FRA,2014,5.067184
France,FRA,2024,3.969368
French Polynesia,PYF,2014,3.075527
French Polynesia,PYF,2024,3.2747147
Gabon,GAB,2014,2.8626618
Gabon,GAB,2024,2.126386
Gambia,GMB,2014,0.23359843
Gambia,GMB,2024,0.29086024
Georgia,GEO,2014,2.3881645
Georgia,GEO,2024,3.0948753
Germany,DEU,2014,9.739761
Germany,DEU,2024,6.7688236
Ghana,GHA,2014,0.4727469
Ghana,GHA,2024,0.6106143
Greece,GRC,2014,7.218808
Greece,GRC,2024,5.310692
Greenland,GRL,2014,8.942201
Greenland,GRL,2024,11.079819
Grenada,GRD,2014,2.1185129
Grenada,GRD,2024,3.2159822
Guatemala,GTM,2014,0.8560798
Guatemala,GTM,2024,1.0800844
Guinea,GIN,2014,0.20662637
Guinea,GIN,2024,0.27287328
Guinea-Bissau,GNB,2014,0.08207103
Guinea-Bissau,GNB,2024,0.15544437
Guyana,GUY,2014,2.6184232
Guyana,GUY,2024,5.4269924
Haiti,HTI,2014,0.26013404
Haiti,HTI,2024,0.2523404
High-income countries,OWID_HIC,2014,11.253054
High-income countries,OWID_HIC,2024,9.793883
Honduras,HND,2014,1.0485588
Honduras,HND,2024,1.187437
Hong Kong,HKG,2014,6.215143
Hong Kong,HKG,2024,4.4941745
Hungary,HUN,2014,4.424574
Hungary,HUN,2024,4.135669
Iceland,ISL,2014,10.519396
Iceland,ISL,2024,9.666935
India,IND,2014,1.6368889
India,IND,2024,2.2009783
Indonesia,IDN,2014,1.9238018
Indonesia,IDN,2024,2.8650963
Iran,IRN,2014,7.9044347
Iran,IRN,2024,8.656227
Iraq,IRQ,2014,3.7623115
Iraq,IRQ,2024,5.074398
Ireland,IRL,2014,7.910693
Ireland,IRL,2024,6.3388243
Israel,ISR,2014,7.6329613
Israel,ISR,2024,5.6074414
Italy,ITA,2014,5.7593956
Italy,ITA,2024,5.087886
Jamaica,JAM,2014,2.747366
Jamaica,JAM,2024,2.9592197
Japan,JPN,2014,9.885529
Japan,JPN,2024,7.7724743
Jordan,JOR,2014,2.97608
Jordan,JOR,2024,2.009813
Kazakhstan,KAZ,2014,16.790108
Kazakhstan,KAZ,2024,13.937352
Kenya,KEN,2014,0.2869488
Kenya,KEN,2024,0.37611777
Kiribati,KIR,2014,0.47650838
Kiribati,KIR,2024,0.5386222
Kosovo,OWID_KOS,2014,3.9409475
Kosovo,OWID_KOS,2024,4.777991
Kuwait,KWT,2014,20.457846
Kuwait,KWT,2024,26.24753
Kyrgyzstan,KGZ,2014,1.7354746
Kyrgyzstan,KGZ,2024,1.6379259
Laos,LAO,2014,0.65387225
Laos,LAO,2024,3.140345
Latvia,LVA,2014,3.5966146
Latvia,LVA,2024,3.4520962
Lebanon,LBN,2014,3.7800622
Lebanon,LBN,2024,2.6955004
Lesotho,LSO,2014,1.0780144
Lesotho,LSO,2024,1.100255
Liberia,LBR,2014,0.16070946
Liberia,LBR,2024,0.15310843
Libya,LBY,2014,10.634143
Libya,LBY,2024,8.841596
Liechtenstein,LIE,2014,4.3340054
Liechtenstein,LIE,2024,3.2992606
Lithuania,LTU,2014,4.379493
Lithuania,LTU,2024,4.386505
Low-income countries,OWID_LIC,2014,0.30364034
Low-income countries,OWID_LIC,2024,0.2786571
Lower-middle-income countries,OWID_LMC,2014,1.317954
Lower-middle-income countries,OWID_LMC,2024,1.5882635
Luxembourg,LUX,2014,17.62919
Luxembourg,LUX,2024,10.459649
Macao,MAC,2014,2.1192448
Macao,MAC,2024,1.4665723
Madagascar,MDG,2014,0.11997098
Madagascar,MDG,2024,0.14166704
Malawi,MWI,2014,0.06107204
Malawi,MWI,2024,0.08688312
Malaysia,MYS,2014,7.9832
Malaysia,MYS,2024,8.16206
Maldives,MDV,2014,3.1889908
Maldives,MDV,2024,4.3694687
Mali,MLI,2014,0.17421013
Mali,MLI,2024,0.2850997
Malta,MLT,2014,5.563529
Malta,MLT,2024,3.2037206
Marshall Islands,MHL,2014,2.7949815
Marshall Islands,MHL,2024,4.1115723
Mauritania,MRT,2014,0.66590583
Mauritania,MRT,2024,1.0134012
Mauritius,MUS,2014,3.2556133
Mauritius,MUS,2024,3.6766226
Mexico,MEX,2014,4.040969
Mexico,MEX,2024,3.5227275
Micronesia (country),FSM,2014,1.2843451
Micronesia (country),FSM,2024,1.3309593
Moldova,MDA,2014,1.4225419
Moldova,MDA,2024,1.7551568
Mongolia,MNG,2014,10.171428
Mongolia,MNG,2024,12.859549
Montenegro,MNE,2014,3.3368337
Montenegro,MNE,2024,3.7217364
Montserrat,MSR,2014,9.279865
Montserrat,MSR,2024,6.0215225
Morocco,MAR,2014,1.6715473
Morocco,MAR,2024,1.813556
Mozambique,MOZ,2014,0.31480834
Mozambique,MOZ,2024,0.24869162
Myanmar,MMR,2014,0.31272367
Myanmar,MMR,2024,0.5798787
Namibia,NAM,2014,1.3403752
Namibia,NAM,2024,1.1448735
Nauru,NRU,2014,4.7646294
Nauru,NRU,2024,5.129512
Nepal,NPL,2014,0.27419657
Nepal,NPL,2024,0.6332349
Netherlands,NLD,2014,9.248505
Netherlands,NLD,2024,6.29691
New Caledonia,NCL,2014,17.811096
New Caledonia,NCL,2024,18.0644
New Zealand,NZL,2014,7.8265586
New Zealand,NZL,2024,6.229343
Nicaragua,NIC,2014,0.7780093
Nicaragua,NIC,2024,0.8140884
Niger,NER,2014,0.1174162
Niger,NER,2024,0.11726506
Nigeria,NGA,2014,0.6668816
Nigeria,NGA,2024,0.5837386
Niue,NIU,2014,4.089286
Niue,NIU,2024,4.142857
North America,OWID_NAM,2014,12.008157
North America,OWID_NAM,2024,9.990717
North America (excl. USA),,2014,5.110083
North America (excl. USA),,2024,4.4776444
North Korea,PRK,2014,1.5647378
North Korea,PRK,2024,2.3604918
North Macedonia,MKD,2014,3.5872626
North Macedonia,MKD,2024,3.6311553
Norway,NOR,2014,8.754434
Norway,NOR,2024,6.667616
Oceania,OWID_OCE,2014,11.166204
Oceania,OWID_OCE,2024,9.533471
Oman,OMN,2014,16.537405
Oman,OMN,2024,15.651107
Pakistan,PAK,2014,0.7038469
Pakistan,PAK,2024,0.71556884
Palau,PLW,2014,12.392334
Palau,PLW,2024,12.760258
Palestine,PSE,2014,0.6422121
Palestine,PSE,2024,0.86981934
Panama,PAN,2014,2.746235
Panama,PAN,2024,2.8046095
Papua New Guinea,PNG,2014,0.71859366
Papua New Guinea,PNG,2024,0.7890545
Paraguay,PRY,2014,0.8980856
Paraguay,PRY,2024,1.1454097
Peru,PER,2014,1.6399359
Peru,PER,2024,2.0529242
Philippines,PHL,2014,0.9644077
Philippines,PHL,2024,1.5096035
Poland,POL,2014,8.086096
Poland,POL,2024,7.0801096
Portugal,PRT,2014,4.607092
Portugal,PRT,2024,3.4089074
Qatar,QAT,2014,41.3102
Qatar,QAT,2024,41.27118
Romania,ROU,2014,3.973089
Romania,ROU,2024,3.605104
Russia,RUS,2014,11.297595
Russia,RUS,2024,12.294705
Rwanda,RWA,2014,0.07301555
Rwanda,RWA,2024,0.14263947
Saint Helena,SHN,2014,2.0010922
Saint Helena,SHN,2024,2.1647663
Saint Kitts and Nevis,KNA,2014,4.8218713
Saint Kitts and Nevis,KNA,2024,5.542429
Saint Lucia,LCA,2014,2.7983117
Saint Lucia,LCA,2024,2.9869597
Saint Pierre and Miquelon,SPM,2014,11.02139
Saint Pierre and Miquelon,SPM,2024,9.788039
Saint Vincent and the Grenadines,VCT,2014,2.3846405
Saint Vincent and the Grenadines,VCT,2024,2.5405643
Samoa,WSM,2014,1.0073432
Samoa,WSM,2024,1.1263857
Sao Tome and Principe,STP,2014,0.6516923
Sao Tome and Principe,STP,2024,0.6019113
Saudi Arabia,SAU,2014,20.177479
Saudi Arabia,SAU,2024,20.379194
Senegal,SEN,2014,0.61647093
Senegal,SEN,2024,0.76163954
Serbia,SRB,2014,5.165351
Serbia,SRB,2024,6.237839
Seychelles,SYC,2014,4.3759494
Seychelles,SYC,2024,5.002998
Sierra Leone,SLE,2014,0.16411413
Sierra Leone,SLE,2024,0.165966
Singapore,SGP,2014,8.721305
Singapore,SGP,2024,9.244836
Sint Maarten (Dutch part),SXM,2014,19.770323
Sint Maarten (Dutch part),SXM,2024,16.546274
Slovakia,SVK,2014,6.224689
Slovakia,SVK,2024,5.282773
Slovenia,SVN,2014,6.5917087
Slovenia,SVN,2024,6.0184274
Solomon Islands,SLB,2014,0.5345307
Solomon Islands,SLB,2024,0.3596751
Somalia,SOM,2014,0.06647087
Somalia,SOM,2024,0.06939735
South Africa,ZAF,2014,8.663356
South Africa,ZAF,2024,6.8715796
South America,OWID_SAM,2014,3.0108438
South America,OWID_SAM,2024,2.5496047
South Korea,KOR,2014,12.453072
South Korea,KOR,2024,11.285893
South Sudan,SSD,2014,0.13338377
South Sudan,SSD,2024,0.14196548
Spain,ESP,2014,5.4292984
Spain,ESP,2024,4.599015
Sri Lanka,LKA,2014,0.79248416
Sri Lanka,LKA,2024,0.90139973
Sudan,SDN,2014,0.33729354
Sudan,SDN,2024,0.35272878
Suriname,SUR,2014,5.5631514
Suriname,SUR,2024,4.7093143
Sweden,SWE,2014,4.4742975
Sweden,SWE,2024,3.5916543
Switzerland,CHE,2014,4.791576
Switzerland,CHE,2024,3.5946856
Syria,SYR,2014,1.7199317
Syria,SYR,2024,1.2879974
Taiwan,TWN,2014,11.799141
Taiwan,TWN,2024,11.301164
Tajikistan,TJK,2014,0.5466963
Tajikistan,TJK,2024,1.0140533
Tanzania,TZA,2014,0.2184132
Tanzania,TZA,2024,0.29198244
Thailand,THA,2014,3.880686
Thailand,THA,2024,3.7361188
Togo,TGO,2014,0.214857
Togo,TGO,2024,0.32755217
Tonga,TON,2014,0.9965206
Tonga,TON,2024,1.464028
Trinidad and Tobago,TTO,2014,32.977737
Trinidad and Tobago,TTO,2024,22.931944
Tunisia,TUN,2014,2.6497953
Tunisia,TUN,2024,2.6605377
Turkey,TUR,2014,4.7064295
Turkey,TUR,2024,5.865009
Turkmenistan,TKM,2014,10.336854
Turkmenistan,TKM,2024,10.808675
Turks and Caicos Islands,TCA,2014,8.774297
Turks and Caicos Islands,TCA,2024,8.136117
Tuvalu,TUV,2014,0.66575813
Tuvalu,TUV,2024,1.1831627
Uganda,UGA,2014,0.11236722
Uganda,UGA,2024,0.12663798
Ukraine,UKR,2014,5.605606
Ukraine,UKR,2024,3.7637882
United Arab Emirates,ARE,2014,26.045097
United Arab Emirates,ARE,2024,20.131075
United Kingdom,GBR,2014,6.764833
United Kingdom,GBR,2024,4.5257993
United States,USA,2014,17.118917
United States,USA,2024,14.197287
Upper-middle-income countries,OWID_UMC,2014,5.3415513
Upper-middle-income countries,OWID_UMC,2024,6.0688443
Uruguay,URY,2014,1.9913993
Uruguay,URY,2024,2.35437
Uzbekistan,UZB,2014,3.5567496
Uzbekistan,UZB,2024,3.829127
Vanuatu,VUT,2014,0.6053941
Vanuatu,VUT,2024,0.6012429
Venezuela,VEN,2014,5.8171196
Venezuela,VEN,2024,4.085203
Vietnam,VNM,2014,1.963878
Vietnam,VNM,2024,3.6730351
Wallis and Futuna,WLF,2014,2.0804672
Wallis and Futuna,WLF,2024,2.6991065
World,OWID_WRL,2014,4.8045974
World,OWID_WRL,2024,4.729075
Yemen,YEM,2014,0.87977016
Yemen,YEM,2024,0.24944058
Zambia,ZMB,2014,0.3323784
Zambia,ZMB,2024,0.5650162
Zimbabwe,ZWE,2014,0.84084177
Zimbabwe,ZWE,2024,0.82366556
